"id","name","seq","lat","lng"
122,"0921 - Dohler to Iririú - Volta",79,-26.2662714494935,-48.8450018638216
122,"0921 - Dohler to Iririú - Volta",80,-26.266308577485,-48.8449529377692
122,"0921 - Dohler to Iririú - Volta",81,-26.2663623804163,-48.8445277119973
122,"0921 - Dohler to Iririú - Volta",82,-26.2664703018508,-48.8435942806489
122,"0921 - Dohler to Iririú - Volta",83,-26.2665870067399,-48.8426436120037
122,"0921 - Dohler to Iririú - Volta",84,-26.2666585809195,-48.8421453603687
122,"0921 - Dohler to Iririú - Volta",85,-26.2668472235241,-48.8407451006792
122,"0921 - Dohler to Iririú - Volta",86,-26.2670394310853,-48.8393619091185
122,"0921 - Dohler to Iririú - Volta",87,-26.2671912130011,-48.8381417194739
122,"0921 - Dohler to Iririú - Volta",88,-26.2674052108264,-48.8369361809086
122,"0921 - Dohler to Iririú - Volta",89,-26.2675465573658,-48.8366385541122
122,"0921 - Dohler to Iririú - Volta",90,-26.2676977168379,-48.8364123275096
122,"0921 - Dohler to Iririú - Volta",91,-26.2678848444318,-48.8361338009681
122,"0921 - Dohler to Iririú - Volta",92,-26.2680579770839,-48.8359314575193
122,"0921 - Dohler to Iririú - Volta",93,-26.2683053717196,-48.8356769440219
122,"0921 - Dohler to Iririú - Volta",94,-26.2698595661769,-48.8342654169131
122,"0921 - Dohler to Iririú - Volta",95,-26.271739256624,-48.8325756397023
122,"0921 - Dohler to Iririú - Volta",96,-26.2735801210094,-48.830949207229
122,"0921 - Dohler to Iririú - Volta",97,-26.2742642341456,-48.8303541443813
122,"0921 - Dohler to Iririú - Volta",98,-26.2747411188814,-48.8299075986207
122,"0921 - Dohler to Iririú - Volta",99,-26.2741528913989,-48.829001917476
122,"0921 - Dohler to Iririú - Volta",100,-26.2738203590109,-48.8284625138719
122,"0921 - Dohler to Iririú - Volta",101,-26.2737304512567,-48.8282836811912
122,"0921 - Dohler to Iririú - Volta",102,-26.2736667760104,-48.8281121113343
122,"0921 - Dohler to Iririú - Volta",103,-26.2735977284745,-48.8279956469669
122,"0921 - Dohler to Iririú - Volta",104,-26.2735059808007,-48.8279206887637
122,"0921 - Dohler to Iririú - Volta",105,-26.2733789798553,-48.8279068991496
122,"0921 - Dohler to Iririú - Volta",106,-26.2733155926005,-48.8279104863684
122,"0921 - Dohler to Iririú - Volta",107,-26.2727880255719,-48.8283941243419
